Time;Id;Title;Subtitle;InService;NumbeOfLocks;ActualLocks;ActualBikes;UpdatedAt;RefreshRate;
2018-08-19 00:03:41;196;Ringnes Park;ved Sannergata;True;18;11;2;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;197;Uelands gate;Ved Ulvetrappen (Ilatrappen);True;36;35;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;185;HiOA;langs Pilestredet;True;25;12;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;214;Schous plass;nærmest Thorvald Meyers gate;True;6;0;4;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;180;Lørenveien;under Lørenparken;True;21;21;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;201;Munkegata trikkestopp;langs Oslo gate;True;24;16;3;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;212;Hasle Torg;ved busstoppet;True;24;22;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;190;Parkveien;utenfor Katedralen pub;True;15;9;3;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;191;Jakob kirke;langs Torggata;True;9;0;3;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;193;Oslo Handelsgymnasium;ved Solligata;True;27;14;3;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;209;Frognerbadet;ved Middelthuns gate;True;18;16;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;179;Carl Berners plass sør;langs Finnmarkgata;True;12;7;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;182;Sagene bussholdeplass;ved Gråbeinsletta;True;15;13;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;200;Tøyen skole;forsiden av skolebygget;True;15;9;1;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;171;John Colletts plass;ved Sognsveien;True;25;22;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;432;;;;;26;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;188;Lodalen busstopp;langs Dyvekes vei;True;12;10;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;220;Kontraskjæret;ved skråning ned mot Pipervika;True;12;3;8;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;225;Sinsenveien;ved Kongehellegata;True;12;12;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;211;Oslo City;i Stenersgata;True;12;0;9;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;221;Tannlegehøyskolen;i Geitmyrsveien;True;15;15;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;203;Uranienborgparken;langs Holtegata;True;15;12;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;205;Norsk Folkemuseum;utenfor inngangen;True;12;7;2;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;236;Storgata;i starten av Youngs gate;True;12;0;4;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;215;Bjølsendumpa;langs Treschows gate;True;21;19;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;233;Alexander Kiellands Plass;ved Maridalsveien;True;25;16;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;206;St. Hanshaugen;i Waldemar Thranes gate;True;12;7;0;2018-08-19 00:03:32;10.0;
2018-08-19 00:03:41;229;Schous plass;nærmest rundkjøringen;True;20;0;16;2018-08-19 00:03:32;10.0;
